X,F(X)
-100.0,1.7321425631964833
-99.0,367263.44226097426
-98.0,14.01009271847223
-97.0,4.367254938051253
-96.0,660.8238363215764
-95.0,17.613634350621254
-94.0,10.690228253673398
-93.0,52.567213214981535
-92.0,22.893447910866538
-91.0,72.97954504346208
-90.0,12.047171873382213
-89.0,42.16888926908222
-88.0,857.7059083688779
-87.0,3.151529866843396
-86.0,98.30902082727125
-85.0,47.11647700061499
-84.0,2.920260315672122
-83.0,424.9589856596287
-82.0,21.407472333473805
-81.0,1.177079939246862
-80.0,8394.959792974152
-79.0,14.930269142301956
-78.0,2.6994777388333198
-77.0,1021065.3541717341
-76.0,15.102404919559323
-75.0,3.41586651096649
-74.0,817.0456476557989
-73.0,16.007561960757304
-72.0,10.348370793222452
-71.0,61.39639896030141
-70.0,23.819729568006128
-69.0,61.06291663047807
-68.0,11.18971765984356
-67.0,38.72694706259934
-66.0,1496.8949248521226
-65.0,5.009395728007505
-64.0,93.66650642722448
-63.0,51.45845002646979
-62.0,1.5037099706606
-61.0,375.8674778253117
-60.0,21.473476604799988
-59.0,2.4445636767317938
-58.0,6289.360139040225
-57.0,15.980429659817737
-56.0,1.6151881745162362
-55.0,3991273.948763915
-54.0,13.941229705824247
-53.0,4.029780406048359
-52.0,1026.0734995166958
-51.0,17.12380023452958
-50.0,9.08169483611482
-49.0,67.55895555713283
-48.0,21.685842304260845
-47.0,52.10969583507444
-46.0,14.029229962245768
-45.0,38.82374503392445
-44.0,3307.2907265769204
-43.0,3.57847932601814
-42.0,85.94315406734485
-41.0,55.78891503884758
-40.0,3.048917685870466
-39.0,337.45453943897644
-38.0,22.82205301767936
-37.0,1.1678546514650066
-36.0,4814.083256871041
-35.0,15.303615821714002
-34.0,2.6210834513438304
-33.0,3.1340186957913134E7
-32.0,15.026091530115304
-31.0,3.072979957686326
-30.0,1298.934998776775
-29.0,15.57387489392997
-28.0,8.942962533489004
-27.0,78.90003964341352
-26.0,22.658084389133432
-25.0,44.50955242200303
-24.0,13.381160227658096
-23.0,35.62413234959053
-22.0,12992.920962552449
-21.0,5.494911246102898
-20.0,82.4173407533353
-19.0,61.56647422224481
-18.0,1.6191711416260017
-17.0,300.82370105093
-16.0,23.055726460315704
-15.0,2.4679858888881596
-14.0,3759.26238439614
-13.0,16.35818636888972
-12.0,1.5145074938081995
-11.0,2.5836221851270804E9
-10.0,13.916275725410678
-9.0,3.7441390784572786
-8.0,1671.4530527699624
-7.0,16.69260099886043
-6.0,7.788997792089201
-5.0,88.05864672925829
-4.0,20.611337507294962
-3.0,38.83008911076288
-2.0,16.491252995308578
-1.0,35.90783036930763
1.0,0.0
2.0,-0.039027504127450596
3.0,1.5074994643201856
4.0,3.3073030909231322
5.0,5.1049272250809015
6.0,6.83413759758453
7.0,8.4788977212349
8.0,10.038991785000357
9.0,11.519377755000024
10.0,12.926457802218547
11.0,14.26669900325193
12.0,15.546133829117627
13.0,16.770208632064534
14.0,17.94377193659015
15.0,19.071116479297277
16.0,20.15603857769989
17.0,21.201899317381613
18.0,22.211681524475345
19.0,23.18804021713283
20.0,24.133346471756685
21.0,25.04972501960111
22.0,25.93908634180657
23.0,26.80315404132616
24.0,27.64348815515255
25.0,28.461505092280486
26.0,29.258494692052455
27.0,30.03563486724317
28.0,30.79400424520195
29.0,31.53459307469208
30.0,32.25831268736895
31.0,32.966003750408674
32.0,33.65844346808166
33.0,34.33635182127903
34.0,35.00039723773033
35.0,35.65120135173528
36.0,36.28934338371048
37.0,36.91536396081393
38.0,37.52976851320516
39.0,38.13303032407575
40.0,38.725593234411136
41.0,39.30787407936936
42.0,39.88026486285512
43.0,40.44313473777205
44.0,40.996831770447535
45.0,41.54168454659447
46.0,42.078003618389424
47.0,42.60608283051705
48.0,43.12620052444698
49.0,43.638620619047494
50.0,44.143593612195254
51.0,44.64135749219479
52.0,45.13213857232676
53.0,45.61615225620975
54.0,46.093603740774256
55.0,46.564688662883476
56.0,47.02959369495868
57.0,47.48849709438533
58.0,47.94156921095571
59.0,48.38897295616142
60.0,48.8308642377339
61.0,49.267392362501894
62.0,49.69870041030889
63.0,50.12492558145995
64.0,50.54620498085461
65.0,50.96264861437884
66.0,51.374394278674984
67.0,51.78155321377987
68.0,52.184237652284736
69.0,52.58255558707398
70.0,52.97661098531582
71.0,53.36650398890441
72.0,53.75233110238069
73.0,54.13418536926619
74.0,54.51215653766274
75.0,54.88633121590226
76.0,55.25679301896246
77.0,55.62362270630229
78.0,55.986898311723145
79.0,56.346695265806396
80.0,56.703086511440524
81.0,57.05614261290349
82.0,57.405931858932156
83.0,57.752520360180874
84.0,58.0959721414337
85.0,58.43634922891309
86.0,58.77371173299633
87.0,59.10811792663555
88.0,59.439624319744404
89.0,59.76828572981007
90.0,60.094155348954686
91.0,60.4172848076646
92.0,60.73772423539267
93.0,61.05552231820755
94.0,61.37072635368125
95.0,61.68338230315487
96.0,61.99353484155425
97.0,62.30122740487945
98.0,62.606502235509346
99.0,62.90940042543673
100.0,63.21021669059115
